account_id,customer_id,customer_name,account_type,account_status,account_open_date,kyc_status,risk_rating,registered_country,avg_monthly_txn_count,avg_monthly_txn_amount,home_branch,occupation,annual_income,customer_segment,last_activity_date
ACC-0H8WN2T,CUS-3QHFKTC,Banjeet Kuruvilla,SALARY,ACTIVE,2025-02-03,VERIFIED,HIGH,INDIA,17,397903.44,YESB0132591,"Accountant, chartered public finance",7680625,PREMIUM,2026-08-29
ACC-0IQSVUH,CUS-F006J5M,Harini Kaul,SALARY,ACTIVE,2024-03-30,VERIFIED,MEDIUM,INDIA,18,166628.54,ICIC0974364,Field seismologist,1663035,SALARIED,2026-08-29
ACC-0U2BL3M,CUS-3FQUKHF,Jagvi Dave,SAVINGS,ACTIVE,2022-01-17,VERIFIED,LOW,INDIA,16,183209.03,ICIC0279185,Broadcast presenter,1573042,SALARIED,2026-08-28
ACC-12310X5,CUS-URYBL2O,Bhavya Loyal,SAVINGS,ACTIVE,2022-02-02,VERIFIED,LOW,INDIA,19,257419.56,ICIC0224348,Diagnostic radiographer,2549841,MASS_AFFLUENT,2026-08-29
ACC-1FSOC4W,CUS-PY1ZGQT,Riya Bansal,SAVINGS,ACTIVE,2021-03-24,VERIFIED,LOW,INDIA,19,232003.59,INDB0189755,Broadcast engineer,1724330,MASS_AFFLUENT,2026-08-29
ACC-1I3LDQY,CUS-UN3UVYR,Wishi Dutt,SALARY,ACTIVE,2026-07-08,VERIFIED,LOW,INDIA,5,33496.44,ICIC0783414,IT consultant,1085408,RETAIL,2026-08-25
ACC-1KDGW4L,CUS-DH6V1JZ,Chavvi Thaman,SAVINGS,ACTIVE,2023-06-01,VERIFIED,LOW,INDIA,18,464276.34,BARB0933958,Make,7476057,PREMIUM,2026-08-29
ACC-1RZBK6K,CUS-T7MIIVD,Lakshit Agate,SALARY,ACTIVE,2022-03-27,VERIFIED,LOW,INDIA,17,183099.34,CNRB0184279,Automotive engineer,501768,SALARIED,2026-08-28
ACC-1SGFGFB,CUS-0G58G26,Chandran Ram,SAVINGS,ACTIVE,2021-05-26,VERIFIED,LOW,INDIA,14,82867.04,UTIB0932308,"Designer, exhibition/display",878381,RETAIL,2026-08-27
ACC-1YBPERH,CUS-8H90EVF,Aarna Dhillon,SALARY,ACTIVE,2024-06-22,VERIFIED,MEDIUM,INDIA,16,55267.65,UTIB0284267,Midwife,191734,STUDENT,2026-08-28
ACC-1ZF88JR,CUS-FTF6NJ8,Abhiram Bhargava,SALARY,ACTIVE,2025-05-17,VERIFIED,LOW,INDIA,18,57718.99,KOTAK0424314,Field trials officer,234684,STUDENT,2026-08-27
ACC-21YEFI7,CUS-TGH5OD8,Pranav Kumer,SAVINGS,ACTIVE,2022-11-12,VERIFIED,MEDIUM,INDIA,17,54488.17,KOTAK0740939,Ambulance person,222347,STUDENT,2026-08-29
ACC-22N64KF,CUS-S6VFPTO,Nidra Nayar,SAVINGS,ACTIVE,2025-07-06,VERIFIED,LOW,INDIA,10,49166.86,HDFC0303880,Copy,798216,RETAIL,2026-08-20
ACC-2919AHE,CUS-J8CX9J1,Anirudh Bains,SAVINGS,ACTIVE,2026-07-31,VERIFIED,LOW,INDIA,9,48612.60,KOTAK0526117,Conference centre manager,675190,RETAIL,2026-08-28
ACC-29GD8AF,CUS-PK054NZ,Bina Patil,SAVINGS,ACTIVE,2025-07-10,PENDING,HIGH,INDIA,6,36563.15,BARB0682765,Insurance claims handler,578085,RETAIL,2026-08-29
ACC-2DUG8RM,CUS-BVUKX7A,Ladli Chaudhary,SALARY,ACTIVE,2025-05-21,VERIFIED,LOW,INDIA,8,68800.94,UTIB0822171,Animal technologist,454679,SENIOR_CITIZEN,2026-08-26
ACC-2KLTALC,CUS-HVW48AK,Amruta Batta,SAVINGS,ACTIVE,2025-10-13,VERIFIED,LOW,INDIA,20,316200.55,UBIN0245295,Cartographer,1653627,MASS_AFFLUENT,2026-08-28
ACC-2N82WZM,CUS-TFC8VYI,Wishi Om,SAVINGS,ACTIVE,2020-05-18,VERIFIED,LOW,INDIA,15,314857.63,UBIN0371256,"Designer, ceramics/pottery",1535601,MASS_AFFLUENT,2026-08-29
ACC-2O8PT4M,CUS-X23SY67,Indali Suri,SALARY,ACTIVE,2025-04-17,VERIFIED,MEDIUM,INDIA,12,65638.12,SBIN0845957,Television production assistant,609428,SALARIED,2026-08-28
ACC-2TFKG9L,CUS-C5BLMEY,Yashoda Mukherjee,SAVINGS,ACTIVE,2022-11-07,VERIFIED,MEDIUM,INDIA,16,309924.22,INDB0530819,Contracting civil engineer,1973119,MASS_AFFLUENT,2026-08-29
ACC-2WFUDM7,CUS-ORMBF82,Aditya Tank,SAVINGS,ACTIVE,2023-12-08,VERIFIED,LOW,INDIA,19,171435.55,CNRB0504868,Mechanical engineer,1898310,SALARIED,2026-08-29
ACC-2WT1Q3T,CUS-MY4GPYW,Hemani Edwin,SAVINGS,ACTIVE,2026-02-12,VERIFIED,LOW,INDIA,10,58574.73,YESB0880841,Catering manager,1170357,RETAIL,2026-08-28
