beneficiary_id,account_id,beneficiary_name,beneficiary_account_number,beneficiary_bank,beneficiary_ifsc,relationship_to_account_holder,date_added,is_first_time_beneficiary,is_verified,beneficiary_risk_flag,total_transfers_to_date,evidence_status
BEN-DS7GU1,ACC-0H8WN2T,AIRTEL POSTPAID,EXT-8F1CBFN,IndusInd Bank,INDB0343962,MERCHANT,2024-06-05,FALSE,TRUE,NONE,1,AVAILABLE
BEN-WSOL31,ACC-0H8WN2T,BIGBASKET,EXT-NREK8PK,Punjab National Bank,PUNB0584714,MERCHANT,2024-06-20,FALSE,TRUE,NONE,1,AVAILABLE
BEN-H10ZWP,ACC-0H8WN2T,AMAZON PAY,EXT-OGYR3XK,IndusInd Bank,INDB0488162,MERCHANT,2024-09-10,FALSE,TRUE,NONE,1,AVAILABLE
BEN-DE528V,ACC-0H8WN2T,RELIANCE DIGITAL,EXT-Q6L6GT6,Yes Bank,YESB0738551,MERCHANT,2024-10-17,FALSE,TRUE,NONE,2,AVAILABLE
BEN-3WQ8WG,ACC-0H8WN2T,DMART ONLINE,EXT-VHS1K3A,IndusInd Bank,INDB0857168,MERCHANT,2024-12-09,FALSE,TRUE,NONE,2,AVAILABLE
BEN-F9C5J2,ACC-0H8WN2T,JIO RECHARGE,EXT-ZRENUN5,Punjab National Bank,PUNB0514850,MERCHANT,2025-01-06,FALSE,TRUE,NONE,1,AVAILABLE
BEN-OVNG5X,ACC-0H8WN2T,Anay Setty (Landlord),EXT-23GSBS8,ICICI Bank,YESB0613513,UNKNOWN,2025-07-01,FALSE,TRUE,NONE,5,AVAILABLE
BEN-FVM21N,ACC-0H8WN2T,SWIGGY,EXT-AK1VRJN,Kotak Mahindra Bank,KOTAK0900581,MERCHANT,2025-09-09,FALSE,TRUE,NONE,1,AVAILABLE
BEN-5VCFED,ACC-0IQSVUH,MEDPLUS,EXT-JXK87AU,Axis Bank,UTIB0612340,MERCHANT,2024-03-31,FALSE,TRUE,NONE,1,AVAILABLE
BEN-TG0PLH,ACC-0IQSVUH,BIGBASKET,EXT-NREK8PK,Punjab National Bank,PUNB0584714,MERCHANT,2024-05-23,FALSE,TRUE,NONE,1,AVAILABLE
BEN-8O9IZF,ACC-0IQSVUH,BLINKIT,EXT-3JQIP98,IndusInd Bank,INDB0375504,MERCHANT,2024-07-15,FALSE,TRUE,NONE,1,AVAILABLE
BEN-HSPMD3,ACC-0IQSVUH,TATA POWER BILLING,EXT-B9M80O2,Union Bank of India,UBIN0717889,MERCHANT,2024-07-18,FALSE,TRUE,NONE,1,AVAILABLE
BEN-QC6EQC,ACC-0IQSVUH,Upadhriti Kakar (Landlord),EXT-OLL1VOB,Punjab National Bank,HDFC0198595,UNKNOWN,2024-08-28,FALSE,TRUE,NONE,5,AVAILABLE
BEN-7G5UUV,ACC-0IQSVUH,ZOMATO,EXT-C38HYF9,Punjab National Bank,PUNB0407419,MERCHANT,2024-09-08,FALSE,TRUE,NONE,1,AVAILABLE
BEN-06S5Q7,ACC-0IQSVUH,SWIGGY,EXT-AK1VRJN,Kotak Mahindra Bank,KOTAK0900581,MERCHANT,2024-12-06,FALSE,TRUE,NONE,1,AVAILABLE
BEN-HR5DWW,ACC-0IQSVUH,RELIANCE DIGITAL,EXT-Q6L6GT6,Yes Bank,YESB0738551,MERCHANT,2024-12-10,FALSE,TRUE,NONE,1,AVAILABLE
